Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Os-Lb1,1.03542e+04,3.63172e+01,0.00000e+00,1.23954e+00
Os-Lb2,1.05981e+04,1.76930e+01,0.00000e+00,1.00495e+00
Os-Ma1,1.91380e+03,2.53828e+03,0.00000e+00,3.76442e-01
Os-Mb,1.98450e+03,1.14223e+03,0.00000e+00,3.94102e-01
Ir-La1,9.17480e+03,8.10149e+02,0.00000e+00,1.04081e+00
Ir-La2,9.09910e+03,8.10149e+01,0.00000e+00,1.04081e+00
Ir-Lb1,1.07080e+04,3.07857e+02,0.00000e+00,1.29352e+00
Ir-Lb2,1.09203e+04,1.62030e+02,0.00000e+00,1.04081e+00
Ir-Ma1,1.97990e+03,1.35101e+03,0.00000e+00,3.70556e-01
Ir-Mb,2.05270e+03,6.07956e+02,0.00000e+00,3.88489e-01
Ir-Na1,2.48000e+02,0.00000e+00,0.00000e+00,4.02841e+00
Pt-La1,9.44210e+03,1.17192e+03,0.00000e+00,1.08819e+00
Pt-La2,9.36180e+03,1.17192e+02,0.00000e+00,1.08819e+00
Pt-Lb1,1.10707e+04,4.92207e+02,0.00000e+00,1.36311e+00
Pt-Lb2,1.12504e+04,2.16806e+02,0.00000e+00,1.08819e+00
Pt-Ma1,2.05050e+03,0.00000e+00,0.00000e+00,3.66430e-01
Pt-Mb,2.12760e+03,0.00000e+00,0.00000e+00,3.84574e-01
Pt-Na1,2.56500e+02,0.00000e+00,0.00000e+00,3.97228e+00
Au-La1,9.71300e+03,9.02786e+02,0.00000e+00,1.13349e+00
Au-La2,9.62760e+03,9.02786e+01,0.00000e+00,1.13349e+00
Au-Lb1,1.14425e+04,4.33337e+02,0.00000e+00,1.43164e+00
Au-Lb2,1.15848e+04,1.98613e+02,0.00000e+00,1.13349e+00
Au-Ma1,2.12290e+03,0.00000e+00,0.00000e+00,3.60532e-01
Au-Mb,2.20470e+03,0.00000e+00,0.00000e+00,3.78848e-01
Au-Na1,2.65600e+02,5.24735e+02,0.00000e+00,3.91776e+00
Hg-La1,9.98900e+03,8.99867e+02,0.00000e+00,1.18769e+00
Hg-La2,9.89900e+03,8.99867e+01,0.00000e+00,1.18769e+00
Hg-Lb1,1.18238e+04,3.32951e+02,0.00000e+00,1.51262e+00
Hg-Lb2,1.19241e+04,1.79973e+02,0.00000e+00,1.18769e+00
Hg-Ma1,2.19640e+03,0.00000e+00,0.00000e+00,3.58498e-01
Hg-Mb,2.28270e+03,0.00000e+00,0.00000e+00,3.77001e-01
Hg-Na1,2.76100e+02,2.61149e+03,0.00000e+00,3.94682e+00
Tl-La1,1.02682e+04,1.23570e+03,0.00000e+00,1.25352e+00
Tl-La2,1.01724e+04,1.23570e+02,0.00000e+00,1.25352e+00
Tl-Lb1,1.22128e+04,4.44854e+02,0.00000e+00,1.61024e+00
Tl-Lb2,1.22713e+04,2.47141e+02,0.00000e+00,1.25352e+00
Tl-Ma1,2.27080e+03,0.00000e+00,0.00000e+00,3.57280e-01
Tl-Mb,2.36230e+03,0.00000e+00,0.00000e+00,3.76193e-01
Pb-La1,1.05512e+04,0.00000e+00,0.00000e+00,1.32362e+00
Pb-La2,1.04496e+04,0.00000e+00,0.00000e+00,1.32362e+00
Pb-Lb1,1.26144e+04,0.00000e+00,0.00000e+00,1.71615e+00
Pb-Lb2,1.26223e+04,0.00000e+00,0.00000e+00,1.32362e+00
Pb-Ma1,2.34590e+03,0.00000e+00,0.00000e+00,3.53981e-01
Pb-Mb,2.44270e+03,0.00000e+00,0.00000e+00,3.73157e-01
Pb-Na1,2.92300e+02,0.00000e+00,0.00000e+00,4.08923e+00
Bi-La1,1.08390e+04,8.34338e+02,0.00000e+00,1.38815e+00
Bi-La2,1.07310e+04,8.34338e+01,0.00000e+00,1.38815e+00
Bi-Lb1,1.30235e+04,3.33735e+02,0.00000e+00,1.81661e+00
Bi-Lb2,1.29786e+04,1.16807e+02,0.00000e+00,1.38815e+00
Bi-Ma1,2.42220e+03,0.00000e+00,0.00000e+00,3.48877e-01
Bi-Mb,2.52570e+03,0.00000e+00,0.00000e+00,3.68284e-01
Bi-Na1,3.01700e+02,0.00000e+00,0.00000e+00,4.10681e+00
Po-La1,1.11308e+04,4.71478e+02,0.00000e+00,1.44915e+00
Po-La2,1.10158e+04,4.71478e+01,0.00000e+00,1.44915e+00
Po-Lb1,1.34463e+04,1.79162e+02,0.00000e+00,1.91551e+00
Po-Lb2,1.33404e+04,6.60070e+01,0.00000e+00,1.44915e+00
Po-Ma1,2.51364e+03,9.79233e+02,0.00000e+00,3.41718e-01
Po-Mb,2.62266e+03,5.58163e+02,0.00000e+00,3.61244e-01
At-La1,1.14268e+04,7.57976e+02,0.00000e+00,1.52715e+00
At-La2,1.13048e+04,7.57976e+01,0.00000e+00,1.52715e+00
At-Lb1,1.38760e+04,2.88031e+02,0.00000e+00,2.03880e+00
At-Lb2,1.37381e+04,1.06117e+02,0.00000e+00,1.52715e+00
At-Ma1,2.59612e+03,1.87735e+03,0.00000e+00,3.36042e-01
At-Mb,2.71162e+03,1.07009e+03,0.00000e+00,3.55719e-01
Rn-La1,1.17270e+04,7.09191e+02,0.00000e+00,1.69712e+00
Rn-La2,1.15979e+04,7.09191e+01,0.00000e+00,1.69712e+00
Rn-Lb1,1.43156e+04,2.69493e+02,0.00000e+00,2.28901e+00
Rn-Lb2,1.40824e+04,9.92868e+01,0.00000e+00,1.69712e+00
Rn-Ma1,2.67981e+03,0.00000e+00,0.00000e+00,3.47681e-01
Rn-Mb,2.80187e+03,0.00000e+00,0.00000e+00,3.68506e-01
Fr-La1,1.20315e+04,8.76198e+02,0.00000e+00,1.79720e+00
Fr-La2,1.18950e+04,8.76198e+01,0.00000e+00,1.79720e+00
Fr-Lb1,1.47703e+04,3.32955e+02,0.00000e+00,2.45090e+00
Fr-Lb2,1.44542e+04,1.22668e+02,0.00000e+00,1.79720e+00
Fr-Ma1,2.76084e+03,1.12348e+03,0.00000e+00,3.41762e-01
Fr-Mb,2.88971e+03,6.40386e+02,0.00000e+00,3.62701e-01
Ra-La1,1.23395e+04,8.13230e+02,0.00000e+00,1.92392e+00
Ra-La2,1.21960e+04,8.13230e+01,0.00000e+00,1.92392e+00
Ra-Lb1,1.52359e+04,3.09027e+02,0.00000e+00,2.65398e+00
Ra-Lb2,1.48417e+04,1.13852e+02,0.00000e+00,1.92392e+00
Ra-Ma1,2.80600e+03,0.00000e+00,0.00000e+00,3.38475e-01
Ra-Mb,2.94950e+03,0.00000e+00,0.00000e+00,3.59605e-01
Ac-La1,1.26520e+04,1.31703e+03,0.00000e+00,2.04791e+00
Ac-La2,1.25008e+04,1.31703e+02,0.00000e+00,2.04791e+00
Ac-Lb1,1.57130e+04,5.00470e+02,0.00000e+00,2.85860e+00
Ac-Lb2,1.52340e+04,1.84384e+02,0.00000e+00,2.04791e+00
Ac-Ma1,2.92393e+03,5.63807e+02,0.00000e+00,3.32972e-01
Ac-Mb,3.06626e+03,3.21370e+02,0.00000e+00,3.54170e-01
