Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Se-La2,1.37910e+03,0.00000e+00,0.00000e+00,6.70789e-01
Se-Lb1,1.41950e+03,0.00000e+00,0.00000e+00,6.94829e-01
Br-Ka1,1.19238e+04,5.02505e+01,0.00000e+00,1.35263e+00
Br-Ka2,1.18777e+04,2.51252e+01,0.00000e+00,1.35263e+00
Br-Kb1,1.32922e+04,7.63808e+00,0.00000e+00,1.35263e+00
Br-La1,1.48090e+03,0.00000e+00,0.00000e+00,6.43553e-01
Br-La2,1.47980e+03,0.00000e+00,0.00000e+00,6.43553e-01
Br-Lb1,1.52590e+03,0.00000e+00,0.00000e+00,6.68050e-01
Kr-Ka1,1.26507e+04,0.00000e+00,0.00000e+00,1.60314e+00
Kr-Ka2,1.25984e+04,0.00000e+00,0.00000e+00,1.60314e+00
Kr-Kb1,1.41118e+04,0.00000e+00,0.00000e+00,1.60314e+00
Kr-La1,1.58600e+03,0.00000e+00,0.00000e+00,6.62581e-01
Kr-La2,1.58600e+03,0.00000e+00,0.00000e+00,6.62581e-01
Kr-Lb1,1.63830e+03,0.00000e+00,0.00000e+00,6.89193e-01
Rb-Ka1,1.33953e+04,0.00000e+00,0.00000e+00,1.86974e+00
Rb-Ka2,1.33358e+04,0.00000e+00,0.00000e+00,1.86974e+00
Rb-Kb1,1.49612e+04,0.00000e+00,0.00000e+00,1.86974e+00
Rb-La1,1.69410e+03,0.00000e+00,0.00000e+00,6.45232e-01
Rb-La2,1.69260e+03,0.00000e+00,0.00000e+00,6.45232e-01
Rb-Lb1,1.75210e+03,0.00000e+00,0.00000e+00,6.72737e-01
Sr-Ka1,1.41650e+04,2.51659e+02,0.00000e+00,2.21675e+00
Sr-Ka2,1.40978e+04,1.25830e+02,0.00000e+00,2.21675e+00
Sr-Kb1,1.58355e+04,4.02655e+01,0.00000e+00,2.21675e+00
Sr-La1,1.80650e+03,0.00000e+00,0.00000e+00,6.36328e-01
Sr-La2,1.80460e+03,0.00000e+00,0.00000e+00,6.36328e-01
Sr-Lb1,1.87180e+03,0.00000e+00,0.00000e+00,6.64974e-01
Y-Ka1,1.49584e+04,0.00000e+00,0.00000e+00,2.62660e+00
Y-Ka2,1.48829e+04,0.00000e+00,0.00000e+00,2.62660e+00
Y-Kb1,1.67381e+04,0.00000e+00,0.00000e+00,2.62660e+00
Y-La1,1.92260e+03,0.00000e+00,0.00000e+00,6.26648e-01
Y-La2,1.92040e+03,0.00000e+00,0.00000e+00,6.26648e-01
Y-Lb1,1.99590e+03,0.00000e+00,0.00000e+00,6.56355e-01
Y-Mz1,1.34000e+02,3.00829e+02,0.00000e+00,1.01953e+00
Zr-Ka1,1.57753e+04,5.32395e+03,0.00000e+00,3.16933e+00
Zr-Ka2,1.56909e+04,2.66198e+03,0.00000e+00,3.16933e+00
Zr-Kb1,1.76671e+04,8.51832e+02,0.00000e+00,3.16933e+00
Zr-La1,2.04230e+03,3.44550e+04,0.00000e+00,6.16596e-01
Zr-La2,2.03990e+03,3.44550e+03,0.00000e+00,6.16596e-01
Zr-Lb1,2.12430e+03,1.51602e+04,0.00000e+00,6.47335e-01
Zr-Mz1,1.53700e+02,0.00000e+00,0.00000e+00,8.61066e-01
Nb-Ka1,1.66151e+04,2.32029e+02,0.00000e+00,3.81696e+00
Nb-Ka2,1.65209e+04,1.16014e+02,0.00000e+00,3.81696e+00
Nb-Kb1,1.86226e+04,3.48043e+01,0.00000e+00,3.81696e+00
Nb-La1,2.16590e+03,4.64201e+03,0.00000e+00,6.02927e-01
Nb-La2,2.16310e+03,4.64201e+02,0.00000e+00,6.02927e-01
Nb-Lb1,2.25730e+03,1.95893e+03,0.00000e+00,6.34539e-01
Nb-Mz1,1.73500e+02,0.00000e+00,0.00000e+00,7.26219e-01
Mo-Ka1,1.74793e+04,3.81838e+02,0.00000e+00,4.67177e+00
Mo-Ka2,1.73744e+04,1.90919e+02,0.00000e+00,4.67177e+00
Mo-Kb1,1.96072e+04,4.58206e+01,0.00000e+00,4.67177e+00
Mo-La1,2.29320e+03,0.00000e+00,0.00000e+00,6.00029e-01
Mo-La2,2.28990e+03,0.00000e+00,0.00000e+00,6.00029e-01
Mo-Lb1,2.39480e+03,0.00000e+00,0.00000e+00,6.33150e-01
Mo-Mz1,1.95500e+02,0.00000e+00,0.00000e+00,6.20827e-01
Tc-Ka1,1.83671e+04,2.08293e+02,0.00000e+00,5.73937e+00
Tc-Ka2,1.82508e+04,1.04146e+02,0.00000e+00,5.73937e+00
Tc-La1,2.42400e+03,3.41124e+03,0.00000e+00,5.92955e-01
Tc-La2,2.42050e+03,3.41124e+02,0.00000e+00,5.92955e-01
Tc-Lb1,2.53680e+03,1.53506e+03,0.00000e+00,6.27296e-01
Tc-Mz1,2.17500e+02,0.00000e+00,0.00000e+00,5.52884e-01
Ru-Ka1,1.92793e+04,2.03543e+02,0.00000e+00,7.09938e+00
Ru-Ka2,1.91503e+04,1.01771e+02,0.00000e+00,7.09938e+00
Ru-La1,2.55850e+03,1.19564e+02,0.00000e+00,5.92838e-01
Ru-La2,2.55430e+03,1.19564e+01,0.00000e+00,5.92838e-01
Ru-Lb1,2.68330e+03,5.38036e+01,0.00000e+00,6.28949e-01
Ru-Mz1,2.40500e+02,2.71623e+02,0.00000e+00,5.12342e-01
Rh-La1,2.69680e+03,1.49838e+03,0.00000e+00,5.86544e-01
Rh-La2,2.69210e+03,1.49838e+02,0.00000e+00,5.86544e-01
Rh-Lb1,2.83440e+03,6.29318e+02,0.00000e+00,6.23976e-01
Rh-Mz1,2.63800e+02,0.00000e+00,0.00000e+00,4.74904e-01
Pd-La1,2.83860e+03,2.36734e+03,0.00000e+00,5.90237e-01
Pd-La2,2.83330e+03,2.36734e+02,0.00000e+00,5.90237e-01
Pd-Lb1,2.99030e+03,1.04163e+03,0.00000e+00,6.29785e-01
Pd-Mz1,2.88900e+02,0.00000e+00,0.00000e+00,4.53689e-01
Ag-La1,2.98440e+03,2.33873e+03,0.00000e+00,5.84200e-01
Ag-La2,2.97830e+03,2.33873e+02,0.00000e+00,5.84200e-01
Ag-Lb1,3.15090e+03,1.02904e+03,0.00000e+00,6.25172e-01
Ag-Lb2,3.34780e+03,2.57261e+02,0.00000e+00,5.84200e-01
Ag-Mz1,3.10200e+02,0.00000e+00,0.00000e+00,4.40087e-01
Cd-La1,3.13380e+03,0.00000e+00,0.00000e+00,5.96455e-01
Cd-La2,3.12700e+03,0.00000e+00,0.00000e+00,5.96455e-01
Cd-Lb1,3.31650e+03,0.00000e+00,0.00000e+00,6.40208e-01
Cd-Lb2,3.52820e+03,0.00000e+00,0.00000e+00,5.96455e-01
Cd-Mz1,3.43600e+02,6.14785e+03,0.00000e+00,4.37086e-01
In-La1,3.28700e+03,0.00000e+00,0.00000e+00,5.98019e-01
In-La2,3.27930e+03,0.00000e+00,0.00000e+00,5.98019e-01
In-Lb1,3.48720e+03,0.00000e+00,0.00000e+00,6.43923e-01
In-Lb2,3.71390e+03,0.00000e+00,0.00000e+00,5.98019e-01
In-Mz1,3.73400e+02,0.00000e+00,0.00000e+00,4.30747e-01
In-Mg1,6.48100e+02,0.00000e+00,0.00000e+00,6.89398e-01
Sn-La1,3.44400e+03,1.26530e+03,0.00000e+00,6.08159e-01
Sn-La2,3.43550e+03,1.26530e+02,0.00000e+00,6.08159e-01
Sn-Lb1,3.66280e+03,6.32650e+02,0.00000e+00,6.56897e-01
Sn-Lb2,3.90490e+03,1.85999e+02,0.00000e+00,6.08159e-01
Sn-Mz1,4.04700e+02,4.27877e+03,0.00000e+00,4.35722e-01
Sn-Mg1,6.90500e+02,4.27877e+02,0.00000e+00,6.83757e-01
Sb-La1,3.60470e+03,1.97038e+03,0.00000e+00,6.14421e-01
Sb-La2,3.59530e+03,1.97038e+02,0.00000e+00,6.14421e-01
Sb-Lb1,3.84350e+03,9.97015e+02,0.00000e+00,6.65843e-01
Sb-Lb2,4.10080e+03,3.07380e+02,0.00000e+00,6.14421e-01
Sb-Lb3,3.93270e+03,2.16742e+02,0.00000e+00,7.33809e-01
Sb-Mz1,4.38500e+02,3.18587e+03,0.00000e+00,4.37472e-01
Sb-Mg1,7.34200e+02,3.18587e+02,0.00000e+00,6.74573e-01
Te-La1,3.76930e+03,1.71287e+03,0.00000e+00,6.35313e-01
Te-La2,3.75890e+03,1.71287e+02,0.00000e+00,6.35313e-01
Te-Lb1,4.02950e+03,8.78703e+02,0.00000e+00,6.90817e-01
Te-Lb2,4.30160e+03,2.79198e+02,0.00000e+00,6.35313e-01
Te-Mz1,4.72300e+02,0.00000e+00,0.00000e+00,4.50352e-01
Te-Mg1,7.78900e+02,0.00000e+00,0.00000e+00,6.83138e-01
I-La1,3.93770e+03,1.99870e+03,0.00000e+00,6.24554e-01
I-La2,3.92580e+03,1.99870e+02,0.00000e+00,6.24554e-01
I-Lb1,4.22080e+03,1.03733e+03,0.00000e+00,6.81569e-01
I-Lb2,4.50750e+03,3.39779e+02,0.00000e+00,6.24554e-01
I-Lb3,4.31350e+03,1.99870e+02,0.00000e+00,7.48700e-01
I-Mz1,5.08600e+02,0.00000e+00,0.00000e+00,4.41534e-01
I-Mg1,8.25000e+02,0.00000e+00,0.00000e+00,6.58859e-01
Xe-La1,4.10990e+03,1.85245e+03,0.00000e+00,6.40376e-01
Xe-La2,4.09680e+03,1.85245e+02,0.00000e+00,6.40376e-01
Xe-Lb1,4.41830e+03,9.26223e+02,0.00000e+00,7.01471e-01
Xe-Lb2,4.71820e+03,3.14916e+02,0.00000e+00,6.40376e-01
Xe-Lb3,4.51580e+03,1.85245e+02,0.00000e+00,7.70129e-01
Xe-Mz1,5.38700e+02,0.00000e+00,0.00000e+00,4.92139e-01
Xe-Mg1,8.73000e+02,0.00000e+00,0.00000e+00,7.23373e-01
Cs-La1,4.28640e+03,1.85021e+03,0.00000e+00,6.43131e-01
Cs-La2,4.27240e+03,1.85021e+02,0.00000e+00,6.43131e-01
Cs-Lb1,4.61990e+03,9.06601e+02,0.00000e+00,7.06809e-01
Cs-Lb2,4.93540e+03,3.14535e+02,0.00000e+00,6.43131e-01
Cs-Mz1,5.67200e+02,0.00000e+00,0.00000e+00,4.89707e-01
Cs-Mg1,9.21100e+02,0.00000e+00,0.00000e+00,7.08900e-01
Ba-La1,4.46630e+03,1.67218e+03,0.00000e+00,6.60110e-01
Ba-Lb1,4.82750e+03,7.69202e+02,0.00000e+00,7.28204e-01
Ba-Lb2,5.15710e+03,2.34105e+02,0.00000e+00,6.60110e-01
Ba-Lb3,4.92660e+03,2.00661e+02,0.00000e+00,7.96668e-01
Ba-Mz1,6.04300e+02,6.36038e+03,0.00000e+00,4.94251e-01
Ba-Mg1,9.72300e+02,9.54057e+02,0.00000e+00,7.06598e-01
La-La1,4.65100e+03,1.88946e+03,0.00000e+00,6.63318e-01
La-La2,4.63420e+03,1.88946e+02,0.00000e+00,6.63318e-01
La-Lb1,5.04210e+03,9.44731e+02,0.00000e+00,7.34702e-01
La-Lb2,5.38380e+03,3.87340e+02,0.00000e+00,6.63318e-01
La-Lb3,5.14290e+03,1.88946e+02,0.00000e+00,8.02951e-01
La-Mz1,6.42700e+02,1.50350e+03,0.00000e+00,4.86460e-01
La-Mg1,1.02450e+03,2.15001e+02,0.00000e+00,6.89503e-01
Ce-La1,4.84010e+03,1.63285e+03,0.00000e+00,6.65505e-01
Ce-La2,4.82210e+03,1.63285e+02,0.00000e+00,6.65505e-01
Ce-Lb1,5.26290e+03,7.83767e+02,0.00000e+00,7.40131e-01
Ce-Lb2,5.61340e+03,3.10241e+02,0.00000e+00,6.65505e-01
Ce-Lb3,5.36340e+03,1.63285e+02,0.00000e+00,8.07794e-01
Pr-La1,5.03330e+03,1.30100e+03,0.00000e+00,6.65682e-01
Pr-La2,5.01320e+03,1.30100e+02,0.00000e+00,6.65682e-01
Pr-Lb1,5.48930e+03,6.76518e+02,0.00000e+00,7.43556e-01
Pr-Lb2,5.85110e+03,2.86219e+02,0.00000e+00,6.65682e-01
Pr-Lb3,5.59260e+03,1.56119e+02,0.00000e+00,8.10680e-01
Pr-Ma1,9.25000e+02,0.00000e+00,0.00000e+00,4.67469e-01
Pr-Mz1,7.14800e+02,0.00000e+00,0.00000e+00,4.80023e-01
Pr-Mg1,1.12900e+03,0.00000e+00,0.00000e+00,6.70116e-01
Nd-La1,5.23020e+03,1.72290e+03,0.00000e+00,6.78276e-01
Nd-La2,5.20840e+03,1.72290e+02,0.00000e+00,6.78276e-01
Nd-Lb1,5.72200e+03,8.61449e+02,0.00000e+00,7.61059e-01
Nd-Lb2,6.09040e+03,3.44580e+02,0.00000e+00,6.78276e-01
Nd-Lb3,5.82860e+03,1.72290e+02,0.00000e+00,8.28991e-01
Nd-Ma1,9.71700e+02,9.18615e+03,0.00000e+00,4.39531e-01
Nd-Mb,9.96500e+02,9.18615e+02,0.00000e+00,4.51751e-01
Nd-Mz1,7.56200e+02,7.34892e+03,0.00000e+00,4.51751e-01
Nd-Mg1,1.17990e+03,1.10234e+03,0.00000e+00,6.26293e-01
Pm-La1,5.43240e+03,7.26279e+02,0.00000e+00,6.79980e-01
Pm-La2,5.40780e+03,7.26279e+01,0.00000e+00,6.79980e-01
Pm-Lb1,5.96130e+03,3.48614e+02,0.00000e+00,7.66523e-01
Pm-Lb2,6.33890e+03,1.30730e+02,0.00000e+00,6.79980e-01
Pm-Lb3,6.07100e+03,7.26279e+01,0.00000e+00,8.34243e-01
Pm-Ma1,1.02090e+03,0.00000e+00,0.00000e+00,4.27800e-01
Pm-Mb,1.04750e+03,0.00000e+00,0.00000e+00,4.40612e-01
Pm-Mz1,7.97100e+02,0.00000e+00,0.00000e+00,4.40612e-01
Pm-Mg1,1.23650e+03,0.00000e+00,0.00000e+00,6.06847e-01
Sm-La1,5.63600e+03,1.78546e+03,0.00000e+00,7.04091e-01
Sm-La2,5.61020e+03,1.78546e+02,0.00000e+00,7.04091e-01
Sm-Lb1,6.20580e+03,8.21314e+02,0.00000e+00,7.97473e-01
Sm-Lb2,6.58720e+03,3.03529e+02,0.00000e+00,7.04091e-01
Sm-Ma1,1.07420e+03,0.00000e+00,0.00000e+00,4.31057e-01
Sm-Mb,1.10050e+03,0.00000e+00,0.00000e+00,4.43961e-01
Sm-Mz1,8.40400e+02,0.00000e+00,0.00000e+00,4.43961e-01
Eu-La1,5.84600e+03,9.84986e+02,0.00000e+00,7.11200e-01
Eu-La2,5.81630e+03,9.84986e+01,0.00000e+00,7.11200e-01
Eu-Lb1,6.45650e+03,4.43244e+02,0.00000e+00,8.09487e-01
Eu-Lb2,6.84370e+03,1.67448e+02,0.00000e+00,7.11200e-01
Eu-Lb3,6.57140e+03,9.84986e+01,0.00000e+00,8.79361e-01
Eu-Ma1,1.12490e+03,0.00000e+00,0.00000e+00,4.21644e-01
Eu-Mb,1.15769e+03,0.00000e+00,0.00000e+00,4.35560e-01
Eu-Mz1,8.76700e+02,0.00000e+00,0.00000e+00,4.35560e-01
Gd-La1,6.05760e+03,1.67465e+03,0.00000e+00,7.36393e-01
Gd-La2,6.02560e+03,1.67465e+02,0.00000e+00,7.36393e-01
Gd-Lb1,6.71310e+03,8.37326e+02,0.00000e+00,8.42424e-01
Gd-Lb2,7.10230e+03,3.43304e+02,0.00000e+00,7.36393e-01
Gd-Lb3,6.83160e+03,1.67465e+02,0.00000e+00,9.14414e-01
Gd-Ma1,1.17668e+03,0.00000e+00,0.00000e+00,4.23451e-01
Gd-Mb,1.20792e+03,0.00000e+00,0.00000e+00,4.37856e-01
Gd-Mz1,9.28700e+02,0.00000e+00,0.00000e+00,4.37856e-01
Tb-La1,6.27280e+03,1.39842e+03,0.00000e+00,7.45609e-01
Tb-La2,6.23900e+03,1.39842e+02,0.00000e+00,7.45609e-01
