Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Er-Mb,1.44900e+03,0.00000e+00,0.00000e+00,3.78093e-01
Er-Mz1,1.08710e+03,0.00000e+00,0.00000e+00,3.78093e-01
Tm-La1,7.18030e+03,0.00000e+00,0.00000e+00,6.02152e-01
Tm-La2,7.13340e+03,0.00000e+00,0.00000e+00,6.02152e-01
Tm-Lb1,8.10230e+03,0.00000e+00,0.00000e+00,6.93047e-01
Tm-Lb2,8.46840e+03,0.00000e+00,0.00000e+00,6.02152e-01
Tm-Ma1,1.46240e+03,0.00000e+00,0.00000e+00,3.55756e-01
Tm-Mb,1.50930e+03,0.00000e+00,0.00000e+00,3.69489e-01
Tm-Mz1,1.12870e+03,0.00000e+00,0.00000e+00,3.69489e-01
Yb-La1,7.41580e+03,1.28031e+03,0.00000e+00,6.17735e-01
Yb-La2,7.36730e+03,1.28031e+02,0.00000e+00,6.17735e-01
Yb-Lb1,8.40190e+03,6.65760e+02,0.00000e+00,7.14360e-01
Yb-Lb2,8.75870e+03,2.56061e+02,0.00000e+00,6.17735e-01
Yb-Lb3,8.53660e+03,1.28031e+02,0.00000e+00,7.63393e-01
Yb-Ma1,1.52150e+03,0.00000e+00,0.00000e+00,3.55218e-01
Yb-Mb,1.57000e+03,0.00000e+00,0.00000e+00,3.68860e-01
Yb-Mz1,1.17960e+03,0.00000e+00,0.00000e+00,3.68860e-01
Lu-La1,7.65560e+03,4.74261e+02,0.00000e+00,6.25766e-01
Lu-La2,7.60470e+03,4.74261e+01,0.00000e+00,6.25766e-01
Lu-Lb1,8.70920e+03,1.94447e+02,0.00000e+00,7.27232e-01
Lu-Lb2,9.04910e+03,8.06244e+01,0.00000e+00,6.25766e-01
Lu-Ma1,1.58160e+03,0.00000e+00,0.00000e+00,3.54027e-01
Lu-Mb,1.63250e+03,0.00000e+00,0.00000e+00,3.67770e-01
Hf-La1,7.89900e+03,9.42686e+03,0.00000e+00,6.42767e-01
Hf-La2,7.84430e+03,9.42686e+02,0.00000e+00,6.42767e-01
Hf-Lb1,9.02300e+03,4.99624e+03,0.00000e+00,7.50714e-01
Hf-Lb2,9.34700e+03,1.79110e+03,0.00000e+00,6.42767e-01
Hf-Ma1,1.64460e+03,5.56653e+01,0.00000e+00,3.51486e-01
Hf-Mb,1.69930e+03,2.50494e+01,0.00000e+00,3.65527e-01
Hf-Na1,2.06700e+02,0.00000e+00,0.00000e+00,4.52786e+00
Ta-La1,8.14600e+03,0.00000e+00,0.00000e+00,6.56343e-01
Ta-La2,8.08790e+03,0.00000e+00,0.00000e+00,6.56343e-01
Ta-Lb1,9.34290e+03,0.00000e+00,0.00000e+00,7.70329e-01
Ta-Lb2,9.65180e+03,0.00000e+00,0.00000e+00,6.56343e-01
Ta-Ma1,1.71010e+03,0.00000e+00,0.00000e+00,3.46374e-01
Ta-Mb,1.76820e+03,0.00000e+00,0.00000e+00,3.60473e-01
Ta-Na1,2.16300e+02,0.00000e+00,0.00000e+00,4.35880e+00
W-La1,8.39760e+03,0.00000e+00,0.00000e+00,6.73991e-01
W-La2,8.33520e+03,0.00000e+00,0.00000e+00,6.73991e-01
W-Lb1,9.67240e+03,0.00000e+00,0.00000e+00,7.95195e-01
W-Lb2,9.96140e+03,0.00000e+00,0.00000e+00,6.73991e-01
W-Lb3,9.81880e+03,0.00000e+00,0.00000e+00,8.47453e-01
W-Ma1,1.77560e+03,5.88931e+01,0.00000e+00,3.41710e-01
W-Mb,1.83510e+03,2.65019e+01,0.00000e+00,3.56061e-01
W-Na1,2.22300e+02,0.00000e+00,0.00000e+00,4.29405e+00
Re-La1,8.65240e+03,1.52418e+03,0.00000e+00,6.88316e-01
Re-La2,8.58640e+03,1.52418e+02,0.00000e+00,6.88316e-01
Re-Lb1,1.00098e+04,6.24914e+02,0.00000e+00,8.16463e-01
Re-Lb2,1.02751e+04,2.89594e+02,0.00000e+00,6.88316e-01
Re-Ma1,1.84230e+03,6.85463e+01,0.00000e+00,3.38218e-01
Re-Mb,1.90830e+03,3.08458e+01,0.00000e+00,3.52677e-01
Os-La1,8.91080e+03,3.41600e+02,0.00000e+00,7.12581e-01
Os-La2,8.84010e+03,3.41600e+01,0.00000e+00,7.12581e-01
Os-Lb1,1.03542e+04,1.33224e+02,0.00000e+00,8.49883e-01
Os-Lb2,1.05981e+04,6.49039e+01,0.00000e+00,7.12581e-01
Os-Ma1,1.91380e+03,0.00000e+00,0.00000e+00,3.36600e-01
Os-Mb,1.98450e+03,0.00000e+00,0.00000e+00,3.51433e-01
Ir-La1,9.17480e+03,0.00000e+00,0.00000e+00,7.32378e-01
Ir-La2,9.09910e+03,0.00000e+00,0.00000e+00,7.32378e-01
Ir-Lb1,1.07080e+04,0.00000e+00,0.00000e+00,8.78311e-01
Ir-Lb2,1.09203e+04,0.00000e+00,0.00000e+00,7.32378e-01
Ir-Ma1,1.97990e+03,6.56895e+01,0.00000e+00,3.30316e-01
Ir-Mb,2.05270e+03,2.95603e+01,0.00000e+00,3.45314e-01
Ir-Na1,2.48000e+02,5.07755e+00,0.00000e+00,3.96275e+00
Pt-La1,9.44210e+03,0.00000e+00,0.00000e+00,7.59814e-01
Pt-La2,9.36180e+03,0.00000e+00,0.00000e+00,7.59814e-01
Pt-Lb1,1.10707e+04,0.00000e+00,0.00000e+00,9.16413e-01
Pt-Lb2,1.12504e+04,0.00000e+00,0.00000e+00,7.59814e-01
Pt-Ma1,2.05050e+03,4.68250e+01,0.00000e+00,3.25640e-01
Pt-Mb,2.12760e+03,2.52855e+01,0.00000e+00,3.40749e-01
Pt-Na1,2.56500e+02,0.00000e+00,0.00000e+00,3.89910e+00
Au-La1,9.71300e+03,0.00000e+00,0.00000e+00,7.85243e-01
Au-La2,9.62760e+03,0.00000e+00,0.00000e+00,7.85243e-01
Au-Lb1,1.14425e+04,0.00000e+00,0.00000e+00,9.52694e-01
Au-Lb2,1.15848e+04,0.00000e+00,0.00000e+00,7.85243e-01
Au-Ma1,2.12290e+03,1.85689e+02,0.00000e+00,3.19403e-01
Au-Mb,2.20470e+03,1.13270e+02,0.00000e+00,3.34590e-01
Au-Na1,2.65600e+02,1.74690e+01,0.00000e+00,3.83686e+00
Hg-La1,9.98900e+03,0.00000e+00,0.00000e+00,8.16157e-01
Hg-La2,9.89900e+03,0.00000e+00,0.00000e+00,8.16157e-01
Hg-Lb1,1.18238e+04,0.00000e+00,0.00000e+00,9.96008e-01
Hg-Lb2,1.19241e+04,0.00000e+00,0.00000e+00,8.16157e-01
Hg-Ma1,2.19640e+03,3.16255e+01,0.00000e+00,3.16574e-01
Hg-Mb,2.28270e+03,1.89753e+01,0.00000e+00,3.31847e-01
Hg-Na1,2.76100e+02,0.00000e+00,0.00000e+00,3.85492e+00
Tl-La1,1.02682e+04,0.00000e+00,0.00000e+00,8.54296e-01
Tl-La2,1.01724e+04,0.00000e+00,0.00000e+00,8.54296e-01
Tl-Lb1,1.22128e+04,0.00000e+00,0.00000e+00,1.04880e+00
Tl-Lb2,1.22713e+04,0.00000e+00,0.00000e+00,8.54296e-01
Tl-Ma1,2.27080e+03,7.01935e+01,0.00000e+00,3.14438e-01
Tl-Mb,2.36230e+03,3.93083e+01,0.00000e+00,3.29976e-01
Pb-La1,1.05512e+04,0.00000e+00,0.00000e+00,8.94557e-01
Pb-La2,1.04496e+04,0.00000e+00,0.00000e+00,8.94557e-01
Pb-Lb1,1.26144e+04,0.00000e+00,0.00000e+00,1.10531e+00
Pb-Lb2,1.26223e+04,0.00000e+00,0.00000e+00,8.94557e-01
Pb-Ma1,2.34590e+03,2.86320e+01,0.00000e+00,3.10504e-01
Pb-Mb,2.44270e+03,1.77518e+01,0.00000e+00,3.26184e-01
Pb-Na1,2.92300e+02,0.00000e+00,0.00000e+00,3.97231e+00
Bi-La1,1.08390e+04,0.00000e+00,0.00000e+00,9.30226e-01
Bi-La2,1.07310e+04,0.00000e+00,0.00000e+00,9.30226e-01
Bi-Lb1,1.30235e+04,0.00000e+00,0.00000e+00,1.15668e+00
Bi-Lb2,1.29786e+04,0.00000e+00,0.00000e+00,9.30226e-01
Bi-Ma1,2.42220e+03,8.52843e+01,0.00000e+00,3.05023e-01
Bi-Mb,2.52570e+03,5.28763e+01,0.00000e+00,3.20818e-01
Bi-Na1,3.01700e+02,0.00000e+00,0.00000e+00,3.97923e+00
Po-La1,1.11308e+04,0.00000e+00,0.00000e+00,9.62629e-01
Po-La2,1.10158e+04,0.00000e+00,0.00000e+00,9.62629e-01
Po-Lb1,1.34463e+04,0.00000e+00,0.00000e+00,1.20508e+00
Po-Lb2,1.33404e+04,0.00000e+00,0.00000e+00,9.62629e-01
Po-Ma1,2.51364e+03,6.64656e+01,0.00000e+00,2.97722e-01
Po-Mb,2.62266e+03,3.78854e+01,0.00000e+00,3.13535e-01
At-La1,1.14268e+04,3.86368e+02,0.00000e+00,1.00547e+00
At-La2,1.13048e+04,3.86368e+01,0.00000e+00,1.00547e+00
At-Lb1,1.38760e+04,1.46820e+02,0.00000e+00,1.26703e+00
At-Lb2,1.37381e+04,5.40915e+01,0.00000e+00,1.00547e+00
At-Ma1,2.59612e+03,5.02115e+01,0.00000e+00,2.91770e-01
At-Mb,2.71162e+03,2.86205e+01,0.00000e+00,3.07628e-01
Rn-La1,1.17270e+04,1.67451e+02,0.00000e+00,1.10732e+00
Rn-La2,1.15979e+04,1.67451e+01,0.00000e+00,1.10732e+00
Rn-Lb1,1.43156e+04,6.36314e+01,0.00000e+00,1.40473e+00
Rn-Lb2,1.40824e+04,2.34431e+01,0.00000e+00,1.10732e+00
Rn-Ma1,2.67981e+03,0.00000e+00,0.00000e+00,3.00835e-01
Rn-Mb,2.80187e+03,0.00000e+00,0.00000e+00,3.17535e-01
Fr-La1,1.20315e+04,2.00383e+02,0.00000e+00,1.16189e+00
Fr-La2,1.18950e+04,2.00383e+01,0.00000e+00,1.16189e+00
Fr-Lb1,1.47703e+04,7.61456e+01,0.00000e+00,1.48454e+00
Fr-Lb2,1.44542e+04,2.80536e+01,0.00000e+00,1.16189e+00
Fr-Ma1,2.76084e+03,6.49075e+01,0.00000e+00,2.94695e-01
Fr-Mb,2.88971e+03,3.69973e+01,0.00000e+00,3.11404e-01
Ra-La1,1.23395e+04,2.40085e+02,0.00000e+00,1.23236e+00
Ra-La2,1.21960e+04,2.40085e+01,0.00000e+00,1.23236e+00
Ra-Lb1,1.52359e+04,9.12322e+01,0.00000e+00,1.58621e+00
Ra-Lb2,1.48417e+04,3.36119e+01,0.00000e+00,1.23236e+00
Ra-Ma1,2.80600e+03,4.95981e+00,0.00000e+00,2.90890e-01
Ra-Mb,2.94950e+03,2.82709e+00,0.00000e+00,3.07672e-01
Ac-La1,1.26520e+04,0.00000e+00,0.00000e+00,1.29927e+00
Ac-La2,1.25008e+04,0.00000e+00,0.00000e+00,1.29927e+00
Ac-Lb1,1.57130e+04,0.00000e+00,0.00000e+00,1.68479e+00
Ac-Lb2,1.52340e+04,0.00000e+00,0.00000e+00,1.29927e+00
Ac-Ma1,2.92393e+03,8.56813e+01,0.00000e+00,2.85144e-01
Ac-Mb,3.06626e+03,4.88384e+01,0.00000e+00,3.01894e-01
Th-La1,1.29683e+04,9.14636e+02,0.00000e+00,1.39632e+00
Th-La2,1.28095e+04,9.14636e+01,0.00000e+00,1.39632e+00
Th-Lb1,1.62024e+04,3.47562e+02,0.00000e+00,1.82458e+00
Th-Lb2,1.56239e+04,1.28049e+02,0.00000e+00,1.39632e+00
Th-Ma1,2.99680e+03,9.01939e+01,0.00000e+00,2.84257e-01
Th-Mb,3.14640e+03,5.14105e+01,0.00000e+00,3.01229e-01
Pa-La1,1.32913e+04,8.65127e+02,0.00000e+00,1.46450e+00
Pa-La2,1.31219e+04,8.65127e+01,0.00000e+00,1.46450e+00
Pa-Lb1,1.67025e+04,3.28748e+02,0.00000e+00,1.92861e+00
Pa-Lb2,1.60249e+04,1.21118e+02,0.00000e+00,1.46450e+00
Pa-Ma1,3.08230e+03,1.23972e+02,0.00000e+00,2.75479e-01
Pa-Mb,3.24000e+03,7.06641e+01,0.00000e+00,2.92497e-01
U-La1,1.36146e+04,3.89626e+02,0.00000e+00,1.56935e+00
U-La2,1.34387e+04,4.28589e+01,0.00000e+00,1.56935e+00
U-Lb1,1.72200e+04,1.03251e+02,0.00000e+00,2.08401e+00
U-Lb2,1.64286e+04,6.62365e+01,0.00000e+00,1.56935e+00
U-Ma1,3.17080e+03,5.28912e+01,0.00000e+00,2.76069e-01
U-Mb,3.33630e+03,3.31099e+01,0.00000e+00,2.93258e-01
Np-La1,1.39430e+04,3.13822e+02,0.00000e+00,1.67460e+00
Np-La2,1.37580e+04,3.13822e+01,0.00000e+00,1.67460e+00
Np-Lb1,1.77480e+04,1.19252e+02,0.00000e+00,2.24244e+00
Np-Lb2,1.68380e+04,4.39351e+01,0.00000e+00,1.67460e+00
Np-Ma1,3.25900e+03,9.27506e+01,0.00000e+00,2.68009e-01
Np-Mb,3.43300e+03,5.28678e+01,0.00000e+00,2.85030e-01
Pu-La1,1.42760e+04,8.13186e+01,0.00000e+00,1.77254e+00
Pu-La2,1.40820e+04,8.13186e+00,0.00000e+00,1.77254e+00
Pu-Lb1,1.82900e+04,1.62637e+01,0.00000e+00,2.39411e+00
Pu-Lb2,1.72540e+04,1.13846e+01,0.00000e+00,1.77254e+00
Pu-Ma1,3.34900e+03,4.81389e+01,0.00000e+00,2.68562e-01
Pu-Mb,3.53100e+03,2.74392e+01,0.00000e+00,2.85938e-01
Am-La1,1.46140e+04,3.79275e+02,0.00000e+00,1.92571e+00
Am-La2,1.44100e+04,3.79275e+01,0.00000e+00,1.92571e+00
Am-Lb1,1.88470e+04,1.44125e+02,0.00000e+00,2.62418e+00
Am-Lb2,1.76760e+04,5.30986e+01,0.00000e+00,1.92571e+00
Am-Ma1,3.44600e+03,0.00000e+00,0.00000e+00,2.60301e-01
Am-Mb,3.63500e+03,0.00000e+00,0.00000e+00,2.77519e-01
Cm-La1,1.49600e+04,0.00000e+00,0.00000e+00,2.07864e+00
Cm-La2,1.47380e+04,0.00000e+00,0.00000e+00,2.07864e+00
Cm-Lb1,1.94180e+04,0.00000e+00,0.00000e+00,2.85895e+00
Cm-Lb2,1.81100e+04,0.00000e+00,0.00000e+00,2.07864e+00
Cm-Ma1,3.53500e+03,6.82404e+01,0.00000e+00,2.57507e-01
Cm-Mb,3.74200e+03,3.88970e+01,0.00000e+00,2.75544e-01
