Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Ni-Lb1,8.68300e+02,0.00000e+00,0.00000e+00,7.43277e-01
Ni-Ll,7.42900e+02,0.00000e+00,0.00000e+00,7.25953e-01
Cu-Ka1,8.04780e+03,1.41408e+05,0.00000e+00,5.13247e-01
Cu-Ka2,8.02790e+03,3.95942e+04,0.00000e+00,5.13247e-01
Cu-Kb1,8.90530e+03,2.68675e+04,0.00000e+00,5.13247e-01
Cu-La1,9.29500e+02,4.05834e+03,0.00000e+00,7.07008e-01
Cu-La2,9.29500e+02,4.05834e+02,0.00000e+00,7.07008e-01
Cu-Lb1,9.49400e+02,7.30501e+02,0.00000e+00,7.24974e-01
Zn-Ka1,8.63890e+03,0.00000e+00,0.00000e+00,5.42706e-01
Zn-Ka2,8.61580e+03,0.00000e+00,0.00000e+00,5.42706e-01
Zn-Kb1,9.57200e+03,0.00000e+00,0.00000e+00,5.42706e-01
Zn-La1,1.01160e+03,0.00000e+00,0.00000e+00,6.67212e-01
Zn-La2,1.01160e+03,0.00000e+00,0.00000e+00,6.67212e-01
Zn-Lb1,1.03470e+03,0.00000e+00,0.00000e+00,6.85234e-01
Ga-Ka1,9.25170e+03,0.00000e+00,0.00000e+00,5.99894e-01
Ga-Ka2,9.22480e+03,0.00000e+00,0.00000e+00,5.99894e-01
Ga-Kb1,1.02642e+04,0.00000e+00,0.00000e+00,5.99894e-01
Ga-La1,1.09800e+03,0.00000e+00,0.00000e+00,6.58445e-01
Ga-La2,1.09800e+03,0.00000e+00,0.00000e+00,6.58445e-01
Ga-Lb1,1.12490e+03,0.00000e+00,0.00000e+00,6.77436e-01
Ge-Ka1,9.88640e+03,0.00000e+00,0.00000e+00,6.55539e-01
Ge-Ka2,9.85530e+03,0.00000e+00,0.00000e+00,6.55539e-01
Ge-Kb1,1.09823e+04,0.00000e+00,0.00000e+00,6.55539e-01
Ge-La1,1.18800e+03,0.00000e+00,0.00000e+00,6.39731e-01
Ge-La2,1.18800e+03,0.00000e+00,0.00000e+00,6.39731e-01
Ge-Lb1,1.21910e+03,0.00000e+00,0.00000e+00,6.59345e-01
As-Ka1,1.05436e+04,0.00000e+00,0.00000e+00,7.18892e-01
As-Ka2,1.05081e+04,0.00000e+00,0.00000e+00,7.18892e-01
As-Kb1,1.17262e+04,0.00000e+00,0.00000e+00,7.18892e-01
As-La1,1.28190e+03,2.31954e+01,0.00000e+00,6.17577e-01
As-La2,1.28190e+03,2.31954e+00,0.00000e+00,6.17577e-01
As-Lb1,1.31740e+03,7.60810e+00,0.00000e+00,6.37511e-01
Se-Ka1,1.12220e+04,0.00000e+00,0.00000e+00,8.17924e-01
Se-Ka2,1.11816e+04,0.00000e+00,0.00000e+00,8.17924e-01
Se-Kb1,1.24959e+04,0.00000e+00,0.00000e+00,8.17924e-01
Se-La1,1.37910e+03,4.57047e+01,0.00000e+00,6.13103e-01
Se-La2,1.37910e+03,4.57047e+00,0.00000e+00,6.13103e-01
Se-Lb1,1.41950e+03,1.55853e+01,0.00000e+00,6.33918e-01
Br-Ka1,1.19238e+04,3.44934e+00,0.00000e+00,9.05321e-01
Br-Ka2,1.18777e+04,1.72467e+00,0.00000e+00,9.05321e-01
Br-Kb1,1.32922e+04,5.24300e-01,0.00000e+00,9.05321e-01
Br-La1,1.48090e+03,8.45989e+01,0.00000e+00,5.85224e-01
Br-La2,1.47980e+03,8.45989e+00,0.00000e+00,5.85224e-01
Br-Lb1,1.52590e+03,2.99480e+01,0.00000e+00,6.06287e-01
